Timestamp,R,IR,G
28/5/2025 14:44,200336,197288,382
28/5/2025 14:44,200418,197268,370
28/5/2025 14:44,200425,197305,387
28/5/2025 14:44,200451,197305,406
28/5/2025 14:44,200566,197333,378
28/5/2025 14:44,200604,197383,365
28/5/2025 14:44,200618,197297,358
28/5/2025 14:44,200686,197383,391
28/5/2025 14:44,200747,197384,337
28/5/2025 14:44,200818,197505,354
28/5/2025 14:44,200872,197477,376
28/5/2025 14:44,200881,197464,424
28/5/2025 14:44,201016,197512,359
28/5/2025 14:44,201041,197509,453
28/5/2025 14:44,200991,197578,331
28/5/2025 14:44,200985,197522,372
28/5/2025 14:44,200996,197425,428
28/5/2025 14:44,201047,197483,371
28/5/2025 14:44,200971,197458,338
28/5/2025 14:44,200881,197410,432
28/5/2025 14:44,200795,197402,384
28/5/2025 14:44,200800,197379,384
28/5/2025 14:44,200808,197434,399
28/5/2025 14:44,200790,197388,430
28/5/2025 14:44,200844,197437,397
28/5/2025 14:44,200884,197427,340
28/5/2025 14:44,200859,197564,321
28/5/2025 14:44,200916,197441,360
28/5/2025 14:44,200978,197526,393
28/5/2025 14:44,200976,197506,369
28/5/2025 14:44,201011,197533,353
28/5/2025 14:44,201070,197510,386
28/5/2025 14:44,201081,197516,408
28/5/2025 14:44,201097,197573,392
28/5/2025 14:44,201078,197590,349
28/5/2025 14:44,201144,197551,365
28/5/2025 14:44,201211,197627,397
28/5/2025 14:44,201253,197583,357
28/5/2025 14:44,201210,197575,409
28/5/2025 14:44,201321,197574,363
28/5/2025 14:44,201275,197564,351
28/5/2025 14:44,201244,197642,400
28/5/2025 14:44,201297,197687,369
28/5/2025 14:44,201329,197630,395
28/5/2025 14:44,201292,197615,369
28/5/2025 14:44,201361,197603,354
28/5/2025 14:44,201281,197668,282
28/5/2025 14:44,201276,197679,374
28/5/2025 14:44,201268,197597,347
28/5/2025 14:44,201341,197594,430
28/5/2025 14:44,201318,197641,384
28/5/2025 14:44,201316,197569,361
28/5/2025 14:44,201348,197582,366
28/5/2025 14:44,201344,197592,404
28/5/2025 14:44,201274,197598,364
28/5/2025 14:44,201277,197618,396
28/5/2025 14:44,201329,197584,400
28/5/2025 14:44,201329,197649,398
28/5/2025 14:44,201351,197594,381
28/5/2025 14:44,201379,197645,343
28/5/2025 14:44,201430,197588,353
28/5/2025 14:44,201443,197662,378
28/5/2025 14:44,201462,197557,364
28/5/2025 14:44,201515,197624,380
28/5/2025 14:44,201449,197644,370
28/5/2025 14:44,201378,197662,343
28/5/2025 14:44,201409,197583,342
28/5/2025 14:44,201322,197513,370
28/5/2025 14:44,200998,197519,359
28/5/2025 14:44,200763,197246,415
28/5/2025 14:44,200264,197121,394
28/5/2025 14:44,199892,197033,368
28/5/2025 14:44,199666,196923,332
28/5/2025 14:44,199438,196833,401
28/5/2025 14:44,199261,196716,313
28/5/2025 14:44,199168,196691,361
28/5/2025 14:44,199116,196685,392
28/5/2025 14:44,199094,196677,381
28/5/2025 14:44,199028,196581,330
28/5/2025 14:44,199054,196635,372
28/5/2025 14:44,199008,196625,331
28/5/2025 14:44,199101,196673,384
28/5/2025 14:44,199036,196654,381
28/5/2025 14:44,199014,196700,396
28/5/2025 14:44,199020,196643,386
28/5/2025 14:44,198960,196611,379
28/5/2025 14:44,198988,196596,360
28/5/2025 14:44,199085,196629,373
28/5/2025 14:44,199197,196668,393
28/5/2025 14:44,199245,196779,336
28/5/2025 14:44,199438,196864,418
28/5/2025 14:44,199541,196909,365
28/5/2025 14:44,199745,196892,364
28/5/2025 14:44,199785,197031,322
28/5/2025 14:44,199864,196965,403
28/5/2025 14:44,199954,197006,352
28/5/2025 14:44,199953,196985,396
28/5/2025 14:44,199983,197022,367
28/5/2025 14:44,199972,197018,310
28/5/2025 14:44,199974,196981,386
28/5/2025 14:44,199904,197028,367
28/5/2025 14:44,200029,197066,380
28/5/2025 14:44,200153,197108,431
28/5/2025 14:44,200189,197199,347
28/5/2025 14:44,200276,197130,353
28/5/2025 14:44,200331,197166,360
28/5/2025 14:44,200347,197220,380
28/5/2025 14:44,200434,197241,369
28/5/2025 14:44,200564,197236,340
28/5/2025 14:44,200704,197250,325
28/5/2025 14:44,200656,197357,369
28/5/2025 14:44,200814,197350,377
28/5/2025 14:44,200857,197371,343
28/5/2025 14:44,200889,197336,338
28/5/2025 14:44,200885,197416,370
28/5/2025 14:44,200896,197367,436
28/5/2025 14:44,200969,197491,347
28/5/2025 14:44,201044,197472,360
28/5/2025 14:44,201055,197450,396
28/5/2025 14:44,201081,197475,400
28/5/2025 14:44,201090,197418,350
28/5/2025 14:44,201128,197459,372
28/5/2025 14:44,201130,197474,393
28/5/2025 14:44,201152,197494,348
28/5/2025 14:44,201172,197525,394
28/5/2025 14:44,201179,197518,354
28/5/2025 14:44,201191,197525,344
28/5/2025 14:44,201193,197461,360
28/5/2025 14:44,201186,197509,347
28/5/2025 14:44,201280,197512,356
28/5/2025 14:44,201254,197472,371
28/5/2025 14:44,201231,197545,281
28/5/2025 14:44,201200,197515,444
28/5/2025 14:44,201206,197476,422
28/5/2025 14:44,201216,197540,331
28/5/2025 14:44,201162,197485,277
28/5/2025 14:44,201163,197520,479
28/5/2025 14:44,201136,197480,375
28/5/2025 14:44,201215,197531,375
28/5/2025 14:44,201202,197556,377
28/5/2025 14:44,201345,197604,364
28/5/2025 14:44,201348,197581,346
28/5/2025 14:44,201468,197578,369
28/5/2025 14:44,201449,197659,325
28/5/2025 14:44,201458,197646,335
28/5/2025 14:44,201511,197704,389
28/5/2025 14:44,201508,197652,322
28/5/2025 14:44,201548,197702,438
28/5/2025 14:44,201562,197694,403
28/5/2025 14:44,201574,197713,407
28/5/2025 14:44,201763,197745,353
28/5/2025 14:44,201669,197657,379
28/5/2025 14:44,201707,197863,345
28/5/2025 14:44,201752,197722,384
28/5/2025 14:44,201618,197605,341
28/5/2025 14:44,201343,197574,369
28/5/2025 14:44,200894,197330,380
28/5/2025 14:44,200457,197240,442
28/5/2025 14:44,199947,197020,345
28/5/2025 14:44,199605,196847,379
28/5/2025 14:44,199362,196749,337
28/5/2025 14:44,199182,196692,428
28/5/2025 14:44,199002,196565,347
28/5/2025 14:44,198914,196538,408
28/5/2025 14:44,198925,196563,411
28/5/2025 14:44,198873,196563,365
28/5/2025 14:44,198905,196587,410
28/5/2025 14:44,198916,196645,347
28/5/2025 14:44,199041,196542,368
28/5/2025 14:44,199043,196674,332
28/5/2025 14:44,198945,196616,323
28/5/2025 14:44,199067,196654,391
28/5/2025 14:44,199022,196674,374
28/5/2025 14:44,199086,196681,334
28/5/2025 14:44,199076,196642,358
28/5/2025 14:44,199028,196638,367
28/5/2025 14:44,199038,196674,331
28/5/2025 14:44,199032,196638,454
28/5/2025 14:44,199048,196656,389
28/5/2025 14:44,199020,196686,392
28/5/2025 14:44,199037,196662,398
28/5/2025 14:44,199018,196661,316
28/5/2025 14:44,199057,196638,365
28/5/2025 14:44,199106,196689,357
28/5/2025 14:44,199123,196755,361
28/5/2025 14:44,199155,196725,408
28/5/2025 14:44,199159,196709,400
28/5/2025 14:44,199145,196655,390
28/5/2025 14:44,199025,196689,410
28/5/2025 14:44,199110,196680,386
28/5/2025 14:44,199088,196700,426
28/5/2025 14:44,199027,196629,351
28/5/2025 14:44,199183,196671,387
28/5/2025 14:44,199176,196736,376
28/5/2025 14:44,199219,196776,353
28/5/2025 14:44,199253,196774,417
28/5/2025 14:44,199373,196715,387
28/5/2025 14:44,199386,196876,430
28/5/2025 14:44,199488,196804,387
28/5/2025 14:44,199605,196840,446
28/5/2025 14:44,199729,196931,357
28/5/2025 14:44,199754,196902,366
28/5/2025 14:44,199825,196977,381
28/5/2025 14:44,199824,197006,368
28/5/2025 14:44,199892,196982,389
28/5/2025 14:44,199944,196965,357
28/5/2025 14:44,199932,196991,321
28/5/2025 14:44,199962,197028,379
28/5/2025 14:44,199998,196988,382
28/5/2025 14:44,200071,197036,386
28/5/2025 14:44,200143,197079,413
28/5/2025 14:44,200157,197125,408
28/5/2025 14:44,200158,197073,385
28/5/2025 14:44,200169,197050,379
28/5/2025 14:44,200214,197151,379
28/5/2025 14:44,200225,197141,361
28/5/2025 14:44,200276,197120,376
28/5/2025 14:44,200247,197101,413
28/5/2025 14:44,200319,197103,382
28/5/2025 14:44,200262,197138,402
28/5/2025 14:44,200300,197107,371
28/5/2025 14:44,200278,197155,378
28/5/2025 14:44,200278,197162,377
28/5/2025 14:44,200363,197154,393
28/5/2025 14:44,200367,197230,364
28/5/2025 14:44,200354,197201,365
28/5/2025 14:44,200414,197173,371
28/5/2025 14:44,200446,197193,363
28/5/2025 14:44,200477,197222,375
28/5/2025 14:44,200588,197182,402
28/5/2025 14:44,200601,197282,359
28/5/2025 14:44,200699,197264,362
28/5/2025 14:44,200648,197331,323
28/5/2025 14:44,200679,197258,396
28/5/2025 14:44,200756,197278,393
28/5/2025 14:44,200688,197306,359
28/5/2025 14:44,200752,197318,338
28/5/2025 14:44,200719,197300,409
28/5/2025 14:44,200716,197209,366
28/5/2025 14:44,200771,197320,348
28/5/2025 14:44,200780,197282,382
28/5/2025 14:44,200779,197313,430
28/5/2025 14:44,200730,197315,344
28/5/2025 14:44,200822,197306,416
28/5/2025 14:44,200805,197272,383
28/5/2025 14:44,200813,197324,371
28/5/2025 14:44,200788,197277,356
28/5/2025 14:44,200895,197400,356
28/5/2025 14:44,200830,197353,337
28/5/2025 14:44,200704,197262,404
28/5/2025 14:44,200407,197123,391
28/5/2025 14:44,200040,197064,435
28/5/2025 14:44,199499,196752,369
28/5/2025 14:44,199104,196664,382
28/5/2025 14:44,198791,196525,398
28/5/2025 14:44,198631,196408,352
28/5/2025 14:44,198491,196400,372
28/5/2025 14:44,198361,196446,382
28/5/2025 14:44,198424,196336,377
28/5/2025 14:44,198354,196315,334
28/5/2025 14:44,198495,196441,391
28/5/2025 14:44,198429,196433,397
28/5/2025 14:44,198643,196539,411
28/5/2025 14:44,198729,196540,416
28/5/2025 14:44,198791,196566,360
28/5/2025 14:44,198869,196582,363
28/5/2025 14:44,199054,196665,360
28/5/2025 14:44,199009,196718,367
28/5/2025 14:44,199056,196737,402
28/5/2025 14:44,199159,196733,376
28/5/2025 14:44,199142,196727,397
28/5/2025 14:44,199262,196739,423
28/5/2025 14:44,199386,196817,356
28/5/2025 14:44,199525,196827,419
28/5/2025 14:44,199559,196875,343
28/5/2025 14:44,199551,196870,332
28/5/2025 14:44,199734,196945,370
28/5/2025 14:44,199762,196936,387
28/5/2025 14:44,199663,196967,356
28/5/2025 14:44,199749,196947,405
28/5/2025 14:44,199666,196868,381
28/5/2025 14:44,199724,196920,342
28/5/2025 14:44,199750,196904,354
28/5/2025 14:44,199649,196973,379
28/5/2025 14:44,199674,196856,373
28/5/2025 14:44,199633,196920,410
28/5/2025 14:44,199602,196836,379
28/5/2025 14:44,199575,196899,338
28/5/2025 14:44,199554,196844,365
28/5/2025 14:44,199626,196908,380
28/5/2025 14:44,199671,196877,329
28/5/2025 14:44,199689,196944,375
28/5/2025 14:44,199702,196981,392
28/5/2025 14:44,199737,196925,405
28/5/2025 14:44,199713,196895,369
28/5/2025 14:44,199590,196871,369
28/5/2025 14:44,199648,196881,359
